BOL	DMA	DMV	TAL	TLC	ODS	OCP	PAYS	i
2440	650	381	750	300	910	590	Rhodesie-1	1
2290	646	367	645	270	910	579	Rhodesie-1	2
2440	594	381	645	270	910	565	Rhodesie-1	3
2680	616	370	710	280	910	590	Rhodesie-1	4
2480	609	379	710	280	900	575	Rhodesie-1	5
2280	608	392	680	280	890	585	Rhodesie-1	6
2420	644	377	695	290	910	590	Rhodesie-1	7
2490	664	387	660	270	900	585	Rhodesie-1	8
2240	640	378	670	260	880	560	Rhodesie-1	9
2640	620	368	740	280	865	555	Rhodesie-1	10
2390	653	377	670	280	935	585	Rhodesie-1	11
2630	626	367	650	250	950	510	Rhodesie-1	12
2640	605	377	660	250	935	550	Rhodesie-1	13
2590	601	381	680	260	950	595	Rhodesie-1	14
2320	611	393	565	230	970	550	Rhodesie-1	15
2490	710	409	630	270	900	570	Rhodesie-1	16
2410	598	376	640	250	865	545	Rhodesie-1	17
2460	667	408	650	280	880	570	Rhodesie-1	18
2610	755	445	605	280	910	530	Rhodesie-2	1
2570	767	449	660	280	855	560	Rhodesie-2	2
2720	812	445	615	290	900	540	Rhodesie-2	3
2390	683	451	510	240	855	570	Rhodesie-2	4
2770	789	433	640	300	880	570	Rhodesie-2	5
2460	713	460	615	280	830	560	Rhodesie-2	6
2310	732	468	600	280	830	525	Rhodesie-2	7
2100	695	463	590	300	830	505	Rhodesie-2	8
2490	565	400	640	260	900	540	Rhodesie-3	1
2470	626	406	650	260	910	550	Rhodesie-3	2
2340	614	405	710	270	935	550	Rhodesie-3	3
2400	632	432	615	250	910	550	Rhodesie-3	4
2470	588	401	660	250	880	535	Rhodesie-3	5
2360	727	432	640	280	950	520	Rhodesie-3	6
2400	616	442	640	270	890	550	Rhodesie-3	7
2540	626	405	710	280	960	575	Rhodesie-3	8
2390	578	434	670	300	995	595	Rhodesie-3	9
2610	607	402	740	310	970	585	Rhodesie-3	10
2350	618	385	600	270	880	535	Rhodesie-3	11
2240	572	462	460	190	1010	630	Sénégal-1	1
2400	649	433	510	220	1080	630	Sénégal-1	2
2300	548	443	470	200	1090	620	Sénégal-1	3
2250	577	400	470	190	1070	610	Sénégal-1	4
2350	588	426	470	200	1080	590	Sénégal-1	5
2260	565	420	510	200	1030	610	Sénégal-1	6
2210	597	410	520	220	1030	610	Sénégal-1	7
2180	635	435	470	200	1060	550	Sénégal-1	8
2160	554	426	500	210	1090	630	Sénégal-2	1
2100	525	448	460	190	1050	700	Sénégal-2	2
2120	543	439	460	190	1060	610	Sénégal-2	3
2010	609	443	450	200	1080	600	Sénégal-2	4
2080	562	433	480	200	1110	620	Sénégal-2	5
2030	483	394	620	260	890	570	Thailande-1	1
2180	519	371	540	230	910	550	Thailande-1	2
2060	512	380	610	250	930	570	Thailande-1	3
2180	491	393	580	230	940	540	Thailande-1	4
2100	538	395	580	250	900	560	Thailande-1	5
2220	509	369	640	260	920	590	Thailande-1	6
2450	557	379	630	260	930	570	Thailande-2	1
2300	524	386	630	250	940	550	Thailande-2	2
2150	560	400	590	270	910	580	Thailande-2	3
2270	504	405	650	280	950	550	Thailande-2	4
2300	419	351	520	250	910	500	Thailande-2	5
2180	532	408	540	220	1170	570	Togo	1
1980	550	429	490	200	1110	600	Togo	2
2000	526	450	550	230	1090	600	Togo	3
2020	493	437	560	230	1120	600	Togo	4
1970	547	442	550	230	1020	630	Togo	5
2060	589	427	590	310	1020	610	Togo	6
2260	551	447	640	250	1050	590	Togo	7
1820	492	428	520	220	1040	510	Togo	8
2310	513	441	540	200	1120	620	Togo	9
2150	547	429	520	200	1150	580	Togo	10
2120	544	448	510	200	1170	610	Togo	11
2230	515	399	660	260	900	590	Zambie	1
2330	542	399	680	310	910	550	Zambie	2
2270	582	383	680	270	880	570	Zambie	3
2390	531	376	660	290	930	570	Zambie	4
2290	559	406	690	290	890	590	Zambie	5
2270	613	352	680	270	940	520	Zambie	6
2110	586	364	580	230	890	600	Zambie	7
2410	593	354	700	280	990	520	Zambie	8
2220	547	405	770	370	900	600	Zambie	9
2350	600	378	660	350	920	580	Zambie	10

